# Evidence manifest 2026-08-01 — raw data kept OUT of git per Joe's rule.
# Back up with scripts/backup_evidence.sh <dest>; verify: sha256sum -c derived from this file.
path	bytes	sha256
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785317407944-257-f04f876e.edn	5127	7210821fc9adfb686a34490c672707d479bc61d6734fa7ac0683ac19e2c18e00
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785321009015-262-9fc1d13c.edn	5037	32b6b85fa64aab93ae421708db6896a70ce5fc0f8f72a66f023d986a6d30e25b
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785324608474-266-7b6a85fe.edn	4654	e95ffcace8c2811d604f919ca4b0264980ed5d904bf80c6ccddc87a0e3377aa0
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785328208509-272-ad0b3850.edn	4962	c73864cfe793187bdb550bb5ae6486333ff4254012beca7a4130f6eee6979388
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785331807477-275-a2ece5d9.edn	5116	6148f40e385e87ebc11e7648c77f960f03fe8a8544d10cb0610d27edc8d2044d
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785335411113-278-b6683cb5.edn	5554	f52c9bc182e537aeb470a1552159689b4601b95720e039117ed255a4f5debb94
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785339010205-280-f0aef11e.edn	5346	79db1f6abb9e11368c301592e860e078f3029ec58e9525770a39a127008ff86f
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785342613132-282-b20c35fc.edn	5192	59da5899f9983f7be348a5d7c7364b113859bedd49e1683a2d369366e7324d74
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785346210310-284-2e41ac48.edn	4962	dea12120a817d6dfab1c6b052164189f150ca8b1ea42c208b4574957eff29d6b
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785349810165-286-c097f49f.edn	4876	254eb95b586d94c632bf1cda34ffa6f4ec3c56bd60b7402a73506fa4a80d0a28
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785353412527-288-08144a51.edn	5064	bc7199321163ff177882627eeb0ff363bf1f6b63d587bd391d125f9c68c063a4
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785357011138-290-05c0166f.edn	5302	4449a78c644d1e90506f81427c2fb16db23f7d5c872d6957bab2334f560df00e
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785375010914-293-1a26ff26.edn	4894	0fe5805397739860c455d58d133ee82507bb785b0ac5ab59f0f2538da739abd7
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785378610179-295-bc87d401.edn	5238	3385e3600d1722b9763e1d28375edcb13faa65ba8edd2b939ed9ad28b8c441e9
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785382213987-297-aa0f7e6a.edn	5050	b608a7ec9475eb49f79fc90736e20096ed9ab4a3bbaf530ff1a664dbc990e7a4
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785385811092-299-4eea364a.edn	4959	0c3d01a21eb6c3a0d69339ed5d0a37e54e6574076d939f47cd7a60786add0bb9
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785389409762-301-bc11f9f1.edn	5597	a335fdf8795d2ae72499f7278eecd34d2d2fc8bd70181d4950f6285646b13537
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785393010025-303-f9f19596.edn	5556	3e6d192a2179590f26a34ff8909b0ec9e6b8880be195ff0763b76b370fb19a9b
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785396609394-305-bd0a237d.edn	5641	1034bf318f428dcb131207f21805247437c600f327d9b1c2586aea09709b65df
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785400210642-307-feb5cab2.edn	5445	c2e4412f66173334165d3dfb14b0392c6ac61673fac3790972072b72c88e8a99
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785403574363-309-da73fb73.edn	6888	6a712c11e6a37ce5f254889614124b051cc6ad8ae3df375e7afbcf9b438c8b28
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785407173436-316-9e0412d5.edn	7102	ff74d7fe97af2c66c57629f28cb1656bc0ccad7fbda4a326ebc1df014d200837
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785410124442-317-efe6d620.edn	6833	adce34c4cc0180656a238c5800bcc7daafc1e76775dfd8d3fd7bfbdca80d565c
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785415411984-319-e6e43466.edn	7978	ea04287ca29ab80eeedc1f11bca21d5d3e8363eec477f8b896cb76a893de38c9
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785418441652-322-1d7aff3b.edn	7931	279398ce9e67af1ba6252efd7bf7b013dee2c6c443036f14f78856194757a543
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785419889167-323-bca5d852.edn	7092	e8c6c3b6c66c0ba1ac6b013ffd81e2702533c4ba247976a55c38e1507a155bec
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785420986192-328-1da63d82.edn	7484	a08b17814aa20dbd5ca170e3dca7613a5cd0f30c2539702509b6ab5a32afd3f5
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785421476581-330-c8636d21.edn	7142	a9adeb13968ce2a8d485305b06bc276a360fda75a4b99271247049c9c6be8187
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785422115195-332-f39f0536.edn	5968	8325f8cc43f80387ce0e2e35c5e7ebf1f5086a86061664107eea42092f2cce76
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785422637137-334-e4d81ddf.edn	5978	baffecb0aca275d812543018930c77105ddba19198adf78d79074ac06704f823
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785423226680-337-1703f50e.edn	6651	50f6af43737c7bb89c61f3899301465b33f83345c4d3c81a0dde0789eb6ff08e
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785423775750-340-979d9f4e.edn	5508	e0b3d6ecd16bdf9851b2da1add4d9a51efef62bb7fe10e4b96b4b019f66f40bc
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785424328614-342-d628b6a7.edn	5295	a771d38e7d1c5c0f99a2dba454dc4a96dadafa3eb472a6c62a2ac909079eed40
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785424651767-344-d6e4ed74.edn	5566	2f099ac03b69f22bca03a5444619906303a615e6f9c0847be1303dc9b8203548
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785425401395-351-8ebdd11a.edn	5925	2cf60ec9ea67751eed21a93cc9787419b267d4530336464daff241569db6befe
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785425985375-354-fa2f6333.edn	5480	b58374a92fadee6b5b51ec724e13274b867ac8d95bf740b95fd3e7ffcfc0aa9b
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785426831145-357-462e4a0d.edn	5323	b87c62f1b730af6768c7259363d9f2e36c0efae89c570ad4608b18ad48a99349
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785432503521-362-4f8b71e9.edn	5746	b81350dc12189b9fa37c5bc5ef8d55243d89ab6d4236ee875aa254c543f90bac
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785432909957-364-928b4249.edn	5852	8aa34492cfbc6cd83d310e6aba3a570862c0f5ecb7a313d707e520a0433b0e0d
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785433194612-365-336a88d9.edn	6691	058081c6a29dc7630ccf2a4c574c9bf21389f718c2fbea76cf7cd7b7cbe56a38
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785433615160-367-0f173b97.edn	6261	3ac5c9000e52b74f5784f5907a32162bf2bea1df4d8b4a89900559be1fc26a07
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785434639043-369-d460cf72.edn	7577	75a430a68496fbfa7491ccf439db9f8fe73650c689ed72da109b7e1a324af74a
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785436046073-372-28603266.edn	6549	efcb33abfdc7f577c3bdda5c44b47f2deedb2c803f8a784470b8aab89d8de80b
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785437916706-378-286a4226.edn	7152	2da951d9952f4a5a51495670b459c720465d9cee8511d1a2a974f1e02e906d0c
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785439906978-381-36c58afb.edn	6606	a94f1c9532c0a5b445bbbfffdcacbb0a7bbaf10c04c14099235ed8b84c0fecc4
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785440558225-384-2820fe28.edn	7061	ebffcaf5bd7a4024a4fa88bc63aa01ff54058e1ab800e85c31cb5914643c0c60
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785441024938-386-944657a5.edn	8926	7233decbd967496ea655afc874a57a2aab5605f0127d2da8790f726a3184270e
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785442373724-389-d3ee2d20.edn	6467	9df6ac6a3a8c9b0e4cd602ff6e9ca8216192044f3bb586b764ced72c360e5495
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785446014987-392-3c78ad0b.edn	6782	5515dba8f077b515eb3d588fcdd1211640fa56e2e48d4d70f4c89d3afbdf4c99
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785448407546-396-80ac8783.edn	6276	56821ebf83d07862daf388b95debef6d4dcbe0e11a38bc13a28a2607d4d00850
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785448446267-397-954e5ec9.edn	8592	35d2452356936fc01c710f1923e14ae58279288cf09525a80686744b8b88287c
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785449267314-399-c1318ec2.edn	8636	877cc3987d338a7fd9c62d519e251ffda9a8d8aeea4f32feaa77d83618dbfd9c
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785449302666-400-2956dd68.edn	7941	46d7a8a56bf0418a81ae4209cbd6dddc8185622c2fbc64ce2415ab27a62a0981
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785451020936-403-177f0408.edn	8884	9121b78a75e7c4dd64e827e8aa041e441dd1a8e2c0ec86d060907e2124152b72
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785451054804-404-ea54a8e6.edn	8437	da647f599e350b2472494e813267be674452391010759c347443b1a74e720393
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785452411378-406-4a85d0fb.edn	9200	4fb22be64c932b25f98c5e55aa709ae753491af9084aa1b9a29a394ec2a5c814
holes/labs/M-memory-retrieval/job-results-20260731/invoke-1785452448315-407-003306a5.edn	6819	08e2aee172d64541216c8e407f071eb64893fbc8e1441144269c2c604942bf00
